author,quote
Lee Iacocca,"Boys, there ain't no free lunches in this country. And don't go spending your whole life commiserating that you got the raw deals. You've got to say, ''I think that if I keep working at this and want it bad enough I can have it.'' It's called perseverance."
Lee Iacocca,"The kind of people I look for to fill top management spots are the eager beavers, the mavericks. These are the guys who try to do more than they're expected to do / they always reach."
Lee Iacocca,"How to gain, how to keep, how to recover happiness is in fact for most men at all times the secret motive of all they do, and of all they are willing to endure."
Lee Iacocca,"If I had to sum up in a word what makes a good manager, I'd say decisiveness. You can use the fanciest computers to gather the numbers, but in the end you have to set a timetable and act."
Lee Iacocca,"There is no substitute for accurate knowledge. Know yourself, know your business, know your men."
Lee Iacocca,"When the product is right, you don't have to be a great marketer."
Lee Iacocca,"In the end, all business operations can be reduced to three words: people, product and profits. Unless you've got a good team, you can't do much with the other two."
Lee Iacocca,"Why is our free-enterprise system so strong?- Not because it stands still, frozen in the past, but because it has always adapted to changing realities"
Lee Iacocca,"Boys, there ain't no free lunches in this country. And don't go spending your whole life commiserating that you got the raw deals. You've got to say, I think that if I keep working at this and want it bad enough I can have it. It's called perseverance."
Lee Iacocca,"You've got to say, ''I think that if I keep working at this and want it badly enough I can have it.'' It's called perseverance."
Lee Iacocca,The speed of the boss is the speed of the team.
Lee Iacocca,"The kind of people I look for to fill top management spots are the eager beavers, the mavericks. These are the guys who try to do more than they're expected to do - they always reach."
Lee Iacocca,The ability to concentrate and to use time well is everything.
Lee Iacocca,"In the end, all business operations can be reduced to three words; people, product and profits. Unless you've got a good team, you can't do much with the other two."
Lee Iacocca,The ability to concentrate and to use your time well is everything.
Lee Iacocca,We at Chrysler borrow money the old fashion way. We pay it back.
Lee Iacocca,"There are times when even the best manager is like the little boy with the big dog, waiting to see where the dog wants to go so he can take him there."
Lee Iacocca,I've always found that the speed of the boss is the speed of the team.
Lee Iacocca,I hire people brighter than me and then I get out of their way.
Lee Iacocca,"My father always used to say that when you die, if you've got five real friends, then you've had a great life."
Lee Iacocca,The greatest discovery of my generation is that human beings can alter their lives by altering their attitudes of mind.
Lee Iacocca,We've got to pause and ask ourselves: How much clean air do we need?
Lee Iacocca,The one word that makes a good manager - decisiveness.
Lee Iacocca,Any supervisor worth his salt would rather deal with people who attempt too much than with those who try too little.
Lee Iacocca,"I have found that being honest is the best technique I can use. Right up front, tell people what you're trying to accomplish and what you're willing to sacrifice to accomplish it."
Lee Iacocca,"One of the things the government can't do is run anything. The only things our government runs are the post office and the railroads, and both of them are bankrupt."
Lee Iacocca,The trick is to make sure you don't die waiting for prosperity to come.
Lee Iacocca,We are continually faced by great opportunities brilliantly disguised as insoluble problems.
Lee Iacocca,"In a completely rational society, the best of us would be teachers and the rest of us would have to settle for something else."
Lee Iacocca,"If a guy is over 25 percent jerk, he's in trouble. And Henry was 95 percent."
Lee Iacocca,I forgot to shake hands and be friendly. It was an important lesson about leadership.
Lee Iacocca,I have always found that if I move with seventy-five percent or more of the facts that I usually never regret it. It's the guys who wait to have everything perfect that drive you crazy.
Lee Iacocca,"If you want to make good use of your time, you've got to know what's most important and then give it all you've got."
Lee Iacocca,"Apply yourself. Get all the education you can, but then, by God, do something. Don't just stand there, make it happen."
Lee Iacocca,"The most successful businessman is the man who holds onto the old just as long as it is good, and grabs the new just as soon as it is better."
Lee Iacocca,The discipline of writing something down is the first step toward making it happen.
Lee Iacocca,Every business and every product has risks. You can't get around it.
Lee Iacocca,"Start with good people, lay out the rules, communicate with your employees, motivate them and reward them. If you do all those things effectively, you can't miss."
Lee Iacocca,People want economy and they will pay any price to get it.
Lee Iacocca,"The thing that lies at the foundation of positive change, the way I see it, is service to a fellow human being."
Lee Iacocca,"Motivation is everything. You can do the work of two people, but you can't be two people. Instead, you have to inspire the next guy down the line and get him to inspire his people."
Lee Iacocca,"If it hadn't been for Henry Ford's drive to create a mass market for cars, America wouldn't have a middle class today."
Lee Iacocca,"If it hadn't been for Henry Ford's drive to create a mass market for cars, America wouldn't have a middle class today,"
Lee Iacocca,The affections are like lightning: you cannot tell where they will strike till they have fallen.
Lee Iacocca,"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive."
Lee Iacocca,"People say to me, ''You were a roaring success. How did you do it?'' I go back to what my parents taught me. Apply yourself. Get all the education you can, but then, by God, do something. Don't just stand there, make something happen."
Lee Iacocca,The ability to concentrate and to use your time well is everything
Lee Iacocca,Management is nothing more than motivating other people.
Lee Iacocca,We at Chrysler borrow money the old-fashioned way. We pay it back.
Lee Iacocca,"The only rock I know that stays steady, the only institution I know that works, is the family."
Janis Ian,"To those of us who know the pain, Of valentines that never came, And those whose names were never called, When choosing sides for basketball."
Janis Ian,"Once you're halfway home, you know that you can probably get the rest of the way there."
Janis Ian,"It was long ago and far away, The world was younger than today, And dreams were all they gave for free, To ugly duckling girls like me."
Janis Ian,"I've always been an avid reader. If I don't have a book in the car, I'll stop and pick one up just to have something to read. I don't even remember learning to read."
Janis Ian,"I learned the truth at seventeen, That love was meant for beauty queens, And high school girls with clear skinned smiles, Who married young and then retired."
Janis Ian,Going off the road just leaves me more time to be a writer.
