author,quote,no_stopwords,lemmatized,stemmed
Bible Bible,"And Adam was not deceived, but the woman being deceived was in the transgression.",Adam deceived woman deceived transgression,Adam deceive woman deceive transgression,adam deceiv woman deceiv transgress
Bible Bible,All these trust to their hands: and every one is wise in his work.,trust hands every one wise work,trust hand every one wise work,trust hand everi one wise work
Bible Bible,"But unto thee have I cried, o Lord; and in the morning shall my prayer prevent thee. (Psalms 88:13)",cried Lord morning shall prayer prevent Psalms 88 13,cry Lord morning shall prayer prevent Psalms 88 13,cri lord morn shall prayer prevent psalm 88 13
Bible Bible,"With the work of an engraver in stone, like the engravings of a signet, shalt thou engrave the two stones with the names of the children of Israel: thou shalt make them to be set in ouches of gold.",work engraver stone like engravings signet shalt thou engrave two stones names children Israel thou shalt make set ouches gold,work engraver stone like engrave signet shalt thou engrave two stone name child Israel thou shalt make set ouches gold,work engrav stone like engrav signet shalt thou engrav two stone name child israel thou shalt make set ouch gold
Bible Bible,"And he made the robe of the ephod of woven work, all of blue.",made robe ephod woven work blue,make robe ephod weave work blue,make robe ephod weav work blue
Bible Bible,"And after the league made with him he shall work deceitfully: for he shall come up, and shall become strong with a small people.",league made shall work deceitfully shall come shall become strong small people,league make shall work deceitfully shall come shall become strong small people,leagu make shall work deceit shall come shall becom strong small peopl
Bible Bible,"Yet heard I the voice of his words: and when I heard the voice of his words, then was I in a deep sleep on my face, and my face toward the ground.",Yet heard voice words heard voice words deep sleep face face toward ground,Yet hear voice word hear voice word deep sleep face face toward grind,yet hear voic word hear voic word deep sleep face face toward grind
Bible Bible,"And their words pleased Hamor, and Shechem Hamor's son.",words pleased Hamor Shechem Hamor son,word please Hamor Shechem Hamor son,word pleas hamor shechem hamor son
Bible Bible,"These are murmurers, complainers, walking after their own lusts; and their mouth speaketh great swelling words, having men's persons in admiration because of advantage.",murmurers complainers walking lusts mouth speaketh great swelling words men persons admiration advantage,murmurer complainer walk lust mouth speaketh great swell word men person admiration advantage,murmur complain walk lust mouth speaketh great swell word men person admir advantag
Bible Bible,"I beheld then because of the voice of the great words which the horn spake: I beheld even till the beast was slain, and his body destroyed, and given to the burning flame.",beheld voice great words horn spake beheld even till beast slain body destroyed given burning flame,behold voice great word horn spake behold even till beast slay body destroy give burn flame,behold voic great word horn spake behold even till beast slay bodi destroy give burn flame
Bible Bible,"Then answered Bildad the Shuhite, and said, / How long wilt thou speak these things? and how long shall the words of thy mouth be like a strong wind? / Doth God pervert judgment? or doth the Almighty pervert justice? / If thy children have sinned against him, and he have cast them away for their transgression; / If thou wouldest seek unto God betimes, and make thy supplication to the Almighty; / If thou wert pure and upright; surely now he would awake for thee, and make the habitation of thy righteousness prosperous.",answered Bildad Shuhite said long wilt thou speak things long shall words mouth like strong wind Doth God pervert judgment doth Almighty pervert justice children sinned cast away transgression thou wouldest seek God betimes make supplication Almighty thou wert pure upright surely would awake make habitation righteousness prosperous,answer Bildad Shuhite say long wilt thou speak thing long shall word mouth like strong wind Doth God pervert judgment doth Almighty pervert justice child sin cast away transgression thou wouldest seek God betimes make supplication Almighty thou wert pure upright surely would awake make habitation righteousness prosperous,answer bildad shuhit say long wilt thou speak thing long shall word mouth like strong wind doth god pervert judgment doth almighti pervert justic child sin cast away transgress thou wouldest seek god betim make supplic almighti thou wert pure upright sure would awak make habit righteous prosper
Bible Bible,And I was very angry when I heard their cry and these words.,angry heard cry words,angry hear cry word,angri hear cri word
Bible Bible,"As he spake these words, many believed on him.",spake words many believed,spake word many believe,spake word mani believ
Bible Bible,Naphtali is a hind let loose: he giveth goodly words.,Naphtali hind let loose giveth goodly words,Naphtali hind let loose giveth goodly word,naphtali hind let loos giveth good word
Bible Bible,"In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; not with broided hair, or gold, or pearls, or costly array; / But (which becometh women professing godliness) with good works.",like manner also women adorn modest apparel shamefacedness sobriety broided hair gold pearls costly array becometh women professing godliness good works,like manner also woman adorn modest apparel shamefacedness sobriety broided hair gold pearl costly array becometh woman profess godliness good work,like manner also woman adorn modest apparel shamefaced sobrieti broid hair gold pearl cost array becometh woman profess godli good work
Bible Bible,"For I say unto you, Among those that are born of women there is not a greater prophet than John the Baptist: but he that is least in the kingdom of God is greater than he.",say Among born women greater prophet John Baptist least kingdom God greater,say Among bear woman great prophet John Baptist least kingdom God great,say among bear woman great prophet john baptist least kingdom god great
Bible Bible,"And he made the laver of brass, and the foot of it of brass, of the lookingglasses of the women assembling, which assembled at the door of the tabernacle of the congregation.",made laver brass foot brass lookingglasses women assembling assembled door tabernacle congregation,make laver brass foot brass lookingglasses woman assemble assemble door tabernacle congregation,make laver brass foot brass lookingglass woman assembl assembl door tabernacl congreg
Bible Bible,"And he brought back all the goods, and also brought again his brother Lot, and his goods, and the women also, and the people.",brought back goods also brought brother Lot goods women also people,bring back good also bring brother Lot good woman also people,bring back good also bring brother lot good woman also peopl
Bible Bible,"And they had hair as the hair of women, and their teeth were as the teeth of lions.",hair hair women teeth teeth lions,hair hair woman teeth teeth lion,hair hair woman teeth teeth lion
Bible Bible,"And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.",Adam said bone bones flesh flesh shall called Woman taken Man,Adam say bone bone flesh flesh shall call Woman take Man,adam say bone bone flesh flesh shall call woman take man
Bible Bible,"And it came to pass, that, when Abram was come into Egypt, the Egyptians beheld the woman that she was very fair.",came pass Abram come Egypt Egyptians beheld woman fair,come pas Abram come Egypt Egyptians behold woman fair,come pas abram come egypt egyptian behold woman fair
Bible Bible,The woman was arrayed in purple and scarlet colour.,woman arrayed purple scarlet colour,woman array purple scarlet colour,woman array purpl scarlet colour
Bible Bible,"A widow, or a divorced woman, or profane, or an harlot, these shall he not take: but he shall take a virgin of his own people to wife.",widow divorced woman profane harlot shall take shall take virgin people wife,widow divorce woman profane harlot shall take shall take virgin people wife,widow divorc woman profan harlot shall take shall take virgin peopl wife
Bible Bible,"And if a woman have an issue, and her issue in her flesh be blood, she shall be put apart seven days: and whosoever toucheth her shall be unclean until the even.",woman issue issue flesh blood shall put apart seven days whosoever toucheth shall unclean even,woman issue issue flesh blood shall put apart seven day whosoever toucheth shall unclean even,woman issu issu flesh blood shall put apart seven day whosoev toucheth shall unclean even
